metodo,nodos,num_de_instancia,tiempo_s,iteraciones,valor_objetivo
HookeJeeves,100,1,0.025318145751953125,11,19161266.232007075
Weiszfeld,100,1,0.003275632858276367,50,19161266.23200709
Descenso,100,1,0.008733034133911133,21,19161266.232007083
HookeJeeves,100,2,0.02728557586669922,9,21241392.152564023
Weiszfeld,100,2,0.0048792362213134766,62,21241392.15256403
Descenso,100,2,0.006281614303588867,26,21241392.152564026
HookeJeeves,100,3,0.02059197425842285,9,18935810.678940654
Weiszfeld,100,3,0.0048160552978515625,76,18935810.678940658
Descenso,100,3,0.009312152862548828,33,18935810.678940665
HookeJeeves,100,4,0.020445585250854492,9,19426130.11020622
Weiszfeld,100,4,0.0031135082244873047,48,19426130.110206228
Descenso,100,4,0.0045430660247802734,16,19426130.11020622
HookeJeeves,100,5,0.01978158950805664,8,28238190.482223332
Weiszfeld,100,5,0.0022101402282714844,33,28238190.48222334
Descenso,100,5,0.0040435791015625,16,28238190.482223336
HookeJeeves,500,1,0.025501251220703125,8,2575279882.617787
Weiszfeld,500,1,0.0031707286834716797,32,2575279882.6177874
Descenso,500,1,0.13373422622680664,17,2575279882.6177874
HookeJeeves,500,2,0.09659814834594727,22,2256887832.41716
Weiszfeld,500,2,0.00696563720703125,73,2256887832.41716
Descenso,500,2,0.24142670631408691,30,2256887832.417161
HookeJeeves,500,3,0.052344560623168945,12,3228692113.8720217
Weiszfeld,500,3,0.0037763118743896484,41,3228692113.8720217
Descenso,500,3,0.13138294219970703,16,3228692113.8720217
HookeJeeves,500,4,0.03766059875488281,9,2103930173.3818405
Weiszfeld,500,4,0.004766225814819336,52,2103930173.3818407
Descenso,500,4,0.20257067680358887,25,2103930173.3818407
HookeJeeves,500,5,0.04800748825073242,13,1755352011.6749296
Weiszfeld,500,5,0.005409717559814453,59,1755352011.67493
Descenso,500,5,0.1893153190612793,23,1755352011.6749303
HookeJeeves,1000,1,0.06598401069641113,12,24365329676.320694
Weiszfeld,1000,1,0.006015300750732422,47,24365329676.3207
Descenso,1000,1,0.38287854194641113,21,24365329676.32071
HookeJeeves,1000,2,0.04514431953430176,8,23047330210.56402
Weiszfeld,1000,2,0.005976438522338867,46,23047330210.564022
Descenso,1000,2,0.362105131149292,20,23047330210.564034
HookeJeeves,1000,3,0.12823772430419922,22,21279007073.91076
Weiszfeld,1000,3,0.008849143981933594,70,21279007073.91076
Descenso,1000,3,0.4635941982269287,26,21279007073.910767
HookeJeeves,1000,4,0.11890912055969238,24,20479247888.828304
Weiszfeld,1000,4,0.05020952224731445,399,20479247888.82827
Descenso,1000,4,1.8667283058166504,102,20479247888.828316
HookeJeeves,1000,5,0.12933611869812012,24,23980500185.316063
Weiszfeld,1000,5,0.014536857604980469,114,23980500185.316063
Descenso,1000,5,0.6231398582458496,36,23980500185.316074
HookeJeeves,5000,1,1.5602898597717285,73,2711273698301.6543
Weiszfeld,5000,1,0.016668319702148438,40,2711273698301.655
Descenso,5000,1,13.613990306854248,16,2711273698301.6553
HookeJeeves,5000,2,0.08268356323242188,6,2692698807598.221
Weiszfeld,5000,2,0.01605534553527832,38,2692698807598.2217
Descenso,5000,2,12.56520700454712,15,2692698807598.2217
HookeJeeves,5000,3,0.20077204704284668,11,3133604549830.907
Weiszfeld,5000,3,0.024680376052856445,59,3133604549830.908
Descenso,5000,3,16.784112453460693,20,3133604549830.9087
HookeJeeves,5000,4,0.1474597454071045,9,2503412584888.299
Weiszfeld,5000,4,0.018680810928344727,44,2503412584888.2993
Descenso,5000,4,16.02578353881836,19,2503412584888.3
HookeJeeves,5000,5,0.14275693893432617,10,3088125983563.5376
Weiszfeld,5000,5,0.032773733139038086,78,3088125983563.538
Descenso,5000,5,22.59035611152649,27,3088125983563.538
HookeJeeves,10000,1,0.41652822494506836,13,17486563499635.896
Weiszfeld,10000,1,0.04315495491027832,55,17486563499635.896
Descenso,10000,1,121.6417133808136,19,17486563499635.9
HookeJeeves,10000,2,1.226111888885498,34,19496303312613.133
Weiszfeld,10000,2,0.06762862205505371,81,19496303312613.137
Descenso,10000,2,166.90154600143433,26,19496303312613.14
HookeJeeves,10000,3,0.45621418952941895,12,26992608101159.92
Weiszfeld,10000,3,0.042090654373168945,54,26992608101159.926
Descenso,10000,3,103.44809031486511,16,26992608101159.93
HookeJeeves,10000,4,0.33304548263549805,11,24573398173963.836
Weiszfeld,10000,4,0.038370370864868164,49,24573398173963.844
Descenso,10000,4,136.17598176002502,21,24573398173963.844
HookeJeeves,10000,5,0.3717074394226074,13,20469956537589.53
Weiszfeld,10000,5,0.07714509963989258,99,20469956537589.54
Descenso,10000,5,181.31910181045532,28,20469956537589.54
