metodo,nodos,num_de_instancia,tiempo_s,iteraciones,valor_objetivo
HookeJeeves,100,1,0.013411283493041992,5,24602427.77264521
Weiszfeld,100,1,0.0016303062438964844,23,24602427.772645213
Descenso,100,1,0.01580023765563965,23,24602427.772645205
HookeJeeves,100,2,0.020882368087768555,7,27884008.030712333
Weiszfeld,100,2,0.0016942024230957031,25,27884008.030712333
Descenso,100,2,0.006044149398803711,27,27884008.030712333
HookeJeeves,100,3,0.016614913940429688,7,21008646.960416146
Weiszfeld,100,3,0.0013804435729980469,20,21008646.960416153
Descenso,100,3,0.005027055740356445,22,21008646.960416157
HookeJeeves,100,4,0.019998550415039062,8,23007747.5140458
Weiszfeld,100,4,0.00148773193359375,21,23007747.514045812
Descenso,100,4,0.004896640777587891,21,23007747.514045805
HookeJeeves,100,5,0.01586771011352539,7,28446733.005781535
Weiszfeld,100,5,0.0014302730560302734,21,28446733.00578154
Descenso,100,5,0.005021095275878906,22,28446733.00578154
HookeJeeves,500,1,0.02720475196838379,7,2971340876.2826214
Weiszfeld,500,1,0.002135753631591797,21,2971340876.2826214
Descenso,500,1,0.16823697090148926,14,2971340876.2826214
HookeJeeves,500,2,0.027455806732177734,6,3097742449.688859
Weiszfeld,500,2,0.002195596694946289,21,3097742449.6888595
Descenso,500,2,0.1024162769317627,13,3097742449.688859
HookeJeeves,500,3,0.07108283042907715,18,2944486134.0548563
Weiszfeld,500,3,0.002151966094970703,21,2944486134.0548563
Descenso,500,3,0.09356856346130371,12,2944486134.0548563
HookeJeeves,500,4,0.09100723266601562,19,3045261879.69374
Weiszfeld,500,4,0.0020439624786376953,20,3045261879.69374
Descenso,500,4,0.11722159385681152,15,3045261879.6937404
HookeJeeves,500,5,0.028100967407226562,6,3014629025.224028
Weiszfeld,500,5,0.0021049976348876953,21,3014629025.2240286
Descenso,500,5,0.10431718826293945,13,3014629025.2240286
HookeJeeves,1000,1,0.04123425483703613,7,24372107850.14176
Weiszfeld,1000,1,0.003034353256225586,23,24372107850.14177
Descenso,1000,1,0.25922513008117676,14,24372107850.14178
HookeJeeves,1000,2,0.04636693000793457,8,24784593271.844097
Weiszfeld,1000,2,0.002680063247680664,20,24784593271.844097
Descenso,1000,2,0.2598989009857178,14,24784593271.8441
HookeJeeves,1000,3,0.06108593940734863,10,24227378709.262897
Weiszfeld,1000,3,0.0029234886169433594,22,24227378709.2629
Descenso,1000,3,0.28058743476867676,15,24227378709.262905
HookeJeeves,1000,4,0.02996063232421875,5,23679047231.27584
Weiszfeld,1000,4,0.0028095245361328125,21,23679047231.27585
Descenso,1000,4,0.24359631538391113,12,23679047231.27585
HookeJeeves,1000,5,0.036841630935668945,8,24066511832.93235
Weiszfeld,1000,5,0.002918720245361328,22,24066511832.93235
Descenso,1000,5,0.3258841037750244,15,24066511832.93235
HookeJeeves,5000,1,0.318648099899292,17,3025360226782.918
Weiszfeld,5000,1,0.009899377822875977,23,3025360226782.918
Descenso,5000,1,7.077480316162109,8,3025360226782.918
HookeJeeves,5000,2,0.0707247257232666,4,2916389571126.819
Weiszfeld,5000,2,0.00954890251159668,22,2916389571126.8193
Descenso,5000,2,5.974740028381348,7,2916389571126.819
HookeJeeves,5000,3,0.31950855255126953,16,2980727621284.9785
Weiszfeld,5000,3,0.009791135787963867,23,2980727621284.9785
Descenso,5000,3,7.8299925327301025,9,2980727621284.979
HookeJeeves,5000,4,0.10656237602233887,7,3036788614230.48
Weiszfeld,5000,4,0.00992441177368164,23,3036788614230.4805
Descenso,5000,4,6.8667356967926025,8,3036788614230.4805
HookeJeeves,5000,5,0.09872817993164062,6,3001113617433.7305
Weiszfeld,5000,5,0.009896278381347656,23,3001113617433.7305
Descenso,5000,5,6.8755247592926025,8,3001113617433.731
HookeJeeves,10000,1,1.1218616962432861,28,24225288728424.1
Weiszfeld,10000,1,0.018363237380981445,23,24225288728424.105
Descenso,10000,1,52.56050252914429,8,24225288728424.105
HookeJeeves,10000,2,0.866077184677124,21,24020505339112.566
Weiszfeld,10000,2,0.019144773483276367,23,24020505339112.57
Descenso,10000,2,45.502777099609375,7,24020505339112.57
HookeJeeves,10000,3,0.3482058048248291,10,23820842061094.59
Weiszfeld,10000,3,0.01909184455871582,24,23820842061094.59
Descenso,10000,3,44.98865866661072,7,23820842061094.586
HookeJeeves,10000,4,0.15761494636535645,5,23871328375994.137
Weiszfeld,10000,4,0.01851058006286621,23,23871328375994.14
Descenso,10000,4,44.96789622306824,7,23871328375994.14
HookeJeeves,10000,5,0.3636903762817383,10,23848593209183.51
Weiszfeld,10000,5,0.019130945205688477,24,23848593209183.52
Descenso,10000,5,45.70449614524841,7,23848593209183.523
