metodo,nodos,num_de_instancia,tiempo_s,memoria_pico_MB,iteraciones,valor_objetivo
HookeJeeves,10,1,0.01876378059387207,157.47265625,40,21183.327405013923
Weiszfeld1,10,1,0.00406646728515625,157.59765625,192,21183.327405013966
Descenso,10,1,0.004449367523193359,157.84765625,68,21183.327405013926
HookeJeeves,10,2,0.008257150650024414,157.84765625,20,25328.635318772616
Weiszfeld1,10,2,0.001967191696166992,157.84765625,100,25328.63531877263
Descenso,10,2,0.0037527084350585938,157.84765625,88,25328.63531877262
HookeJeeves,10,3,0.01669478416442871,157.84765625,36,12532.560083148306
Weiszfeld1,10,3,0.00299072265625,157.84765625,160,12532.560082088825
Descenso,10,3,0.010988712310791016,157.84765625,116,12532.560113930142
HookeJeeves,10,4,0.014730691909790039,157.84765625,40,17015.655924038638
Weiszfeld1,10,4,0.003816366195678711,157.84765625,200,17015.655924038663
Descenso,10,4,0.004828691482543945,157.84765625,96,17015.655924038634
HookeJeeves,10,5,0.01956486701965332,157.84765625,44,16616.478603654745
Weiszfeld1,10,5,0.00548243522644043,157.84765625,304,16616.4786036548
Descenso,10,5,0.00571751594543457,157.84765625,120,16616.478603654756
HookeJeeves,10,6,0.016475200653076172,157.84765625,36,19024.83591443008
Weiszfeld1,10,6,0.003357410430908203,157.84765625,184,19024.83591443012
Descenso,10,6,0.004194736480712891,157.84765625,88,19024.835914430092
HookeJeeves,10,7,0.009105920791625977,157.84765625,24,18951.775429145066
Weiszfeld1,10,7,0.0027484893798828125,157.84765625,116,18951.77542914508
Descenso,10,7,0.002474546432495117,157.84765625,52,18951.775429145066
HookeJeeves,10,8,0.018159151077270508,157.84765625,48,20196.955714045358
Weiszfeld1,10,8,0.004762887954711914,157.84765625,260,20196.95571404541
Descenso,10,8,0.004146099090576172,157.84765625,100,20196.95571404537
HookeJeeves,10,9,0.016192913055419922,157.84765625,36,18240.685229749855
Weiszfeld1,10,9,0.009601593017578125,157.84765625,524,18240.68522975045
Descenso,10,9,0.01150965690612793,157.84765625,212,18240.6852297499
HookeJeeves,10,10,0.019306659698486328,157.84765625,40,20675.444260942022
Weiszfeld1,10,10,0.004704952239990234,157.84765625,252,20675.4442585753
Descenso,10,10,0.012537717819213867,157.84765625,136,20675.44427708257
HookeJeeves,10,11,0.01887202262878418,157.84765625,32,19705.63687721273
Weiszfeld1,10,11,0.004825115203857422,157.84765625,272,19705.636877164383
Descenso,10,11,0.013211965560913086,157.84765625,136,19705.636884805794
HookeJeeves,10,12,0.013161420822143555,157.84765625,32,17932.312372725428
Weiszfeld1,10,12,0.0028362274169921875,157.84765625,156,17932.312372725468
Descenso,10,12,0.0043904781341552734,157.84765625,88,17932.31237272543
HookeJeeves,10,13,0.01063084602355957,157.84765625,24,9393.587783921366
Weiszfeld1,10,13,0.0011801719665527344,157.84765625,112,9393.587774748086
Descenso,10,13,0.006370067596435547,157.84765625,56,9393.587788706836
HookeJeeves,10,14,0.011266708374023438,157.84765625,28,19416.408124130627
Weiszfeld1,10,14,0.0030367374420166016,157.84765625,152,19416.408124130634
Descenso,10,14,0.0038640499114990234,157.84765625,84,19416.408124130638
HookeJeeves,10,15,0.007648468017578125,157.84765625,20,19635.735546528507
Weiszfeld1,10,15,0.0031998157501220703,157.84765625,148,19635.735546528533
Descenso,10,15,0.0023446083068847656,157.84765625,48,19635.73554652851
